file	scope	tags	pin	keep
project_flow_rebuild_m1b.md	github-com-serverkraken-flow	milestone,oidc	-	y
project_flow_rebuild_m1c.md	github-com-serverkraken-flow	milestone,worktime	-	y
project_flow_rebuild_m1d.md	github-com-serverkraken-flow	milestone,worktime	-	y
project_flow_rebuild_m1e.md	github-com-serverkraken-flow	milestone,worktime	-	y
project_flow_rebuild_m2_flowmcp_slice2c.md	github-com-serverkraken-flow	mcp,milestone	-	y
project_flow_rebuild_m2_flowmcp_slice2d.md	github-com-serverkraken-flow	mcp,milestone	-	y
project_flow_rebuild_m2a_plan.md	github-com-serverkraken-flow	docs,milestone	-	y
project_flow_rebuild_m2b.md	github-com-serverkraken-flow	docs,wikilinks,milestone	-	y
project_flow_rebuild_m2c.md	github-com-serverkraken-flow	docs,tags,milestone	-	y
project_flow_rebuild_m2d.md	github-com-serverkraken-flow	docs,search,milestone	-	y
project_flow_rebuild_m2e_planned.md	github-com-serverkraken-flow	docs,search,milestone	-	y
project_flow_rebuild_m3_planned.md	github-com-serverkraken-flow	tui,planned	-	skip
project_flow_rebuild_m3a.md	github-com-serverkraken-flow	tui,milestone	-	y
project_flow_rebuild_m3b.md	github-com-serverkraken-flow	tui,milestone	-	y
project_flow_rebuild_m3c.md	github-com-serverkraken-flow	tui,milestone,worktime	-	y
project_flow_rebuild_m3c0_done.md	github-com-serverkraken-flow	worktime,milestone	-	y
project_flow_rebuild_m3c1_done.md	github-com-serverkraken-flow	tui,worktime,milestone	-	y
project_flow_rebuild_m3c2.md	github-com-serverkraken-flow	tui,worktime,milestone	-	y
project_flow_rebuild_m3c3.md	github-com-serverkraken-flow	tui,milestone	-	y
project_flow_rebuild_m3d_docs_plan.md	github-com-serverkraken-flow	docs,tui,planned	-	skip
project_flow_rebuild_m3d_docs.md	github-com-serverkraken-flow	docs,tui,milestone	-	y
project_flow_rebuild_m4_pm_planned.md	github-com-serverkraken-flow	projects,planned	-	skip
project_flow_rebuild_m4_slice2_webui.md	github-com-serverkraken-flow	projects,webui,milestone	-	y
project_flow_rebuild_m4_slice3_tui_planned.md	github-com-serverkraken-flow	projects,tui,planned	-	skip
project_flow_rebuild_m4_slice3_tui.md	github-com-serverkraken-flow	projects,tui,milestone	-	y
project_flow_rebuild_m4_slice45_backlog.md	github-com-serverkraken-flow	projects,planned	-	y
project_flow_rebuild_nachbuchen_planned.md	github-com-serverkraken-flow	worktime,planned	-	skip
project_flow_rebuild_nachbuchen_slice1.md	github-com-serverkraken-flow	worktime,milestone	-	y
project_flow_rebuild_nachbuchen_slice2.md	github-com-serverkraken-flow	tui,worktime,milestone	-	y
project_flow_rebuild_nachbuchen_slice34.md	github-com-serverkraken-flow	worktime,milestone	-	y
project_flow_rebuild_phase2_planned.md	github-com-serverkraken-flow	tui,milestone	-	y
project_flow_rebuild_server_deploy_ws1.md	github-com-serverkraken-homelab-study	deploy,milestone	-	y
project_flow_rebuild_sse_dos_fix.md	github-com-serverkraken-flow	server,milestone	-	y
project_flow_rebuild_v0_resolution_slice1.md	github-com-serverkraken-flow	projects,mcp,milestone	-	y
project_flow_rebuild_v1_flowmcp_kickoff.md	github-com-serverkraken-flow	mcp,spec	-	y
project_flow_rebuild_webui_overhaul.md	github-com-serverkraken-flow	webui,spec	-	y
project_flow_rebuild_webui_slice0.md	github-com-serverkraken-flow	webui,milestone	-	y
project_flow_rebuild_webui_slice1_planned.md	github-com-serverkraken-flow	webui,planned	-	skip
project_flow_rebuild_webui_slice1.md	github-com-serverkraken-flow	webui,worktime,milestone	-	y
project_flow_rebuild_webui_slice2.md	github-com-serverkraken-flow	webui,worktime,milestone	-	y
project_flow_rebuild_webui_wissen_planned.md	github-com-serverkraken-flow	webui,docs,planned	-	y
project_flow_rebuild_worktime_import.md	github-com-serverkraken-flow	worktime,milestone	-	y
project_flow_rebuild_worktime_parity.md	github-com-serverkraken-flow	tui,worktime,milestone	-	y
project_flow_rebuild_worktime_subtab_strip.md	github-com-serverkraken-flow	tui,worktime	-	skip
project_flow_server_only_rebuild.md	github-com-serverkraken-flow	milestone,architecture	-	skip
project_hexagonal_refactor.md	github-com-serverkraken-flow	architecture,milestone	-	skip
project_kompendium_integration.md	github-com-serverkraken-flow	docs,milestone	-	skip
project_next_poc_fixes_done.md	github-com-serverkraken-flow	milestone	-	skip
project_next_poc_review.md	github-com-serverkraken-flow	milestone	-	skip
project_plan_b_progress.md	github-com-serverkraken-flow	milestone	-	skip
project_plan_e_webui.md	github-com-serverkraken-flow	webui,milestone	-	skip
project_r2a_done.md	github-com-serverkraken-flow	milestone	-	skip
project_r2b_done.md	github-com-serverkraken-flow	docs,milestone	-	skip
project_review_followups.md	github-com-serverkraken-flow	review	-	skip
project_review_open_points.md	github-com-serverkraken-flow	review	-	skip
project_review_round3.md	github-com-serverkraken-flow	review	-	skip
project_review_round4.md	github-com-serverkraken-flow	review	-	skip
project_tmux_flow_migration.md	github-com-serverkraken-flow	milestone	-	y
project_tui_ux_review_cleanup.md	github-com-serverkraken-flow	tui,ux,milestone	-	y
project_ui_review_2026_06_13.md	github-com-serverkraken-flow	ux,milestone	-	y
reference_b1_followups_rollup.md	github-com-serverkraken-flow	review,b-series	-	y
reference_charm_v2_api_skills.md	github-com-serverkraken-flow	tui,charm	-	y
reference_flow_dev_env.md	github-com-serverkraken-flow	dev-env	y	y
reference_flow_launch_modes.md	github-com-serverkraken-flow	launch,cli	y	y
reference_flow_prod_deploy.md	github-com-serverkraken-homelab-study	deploy	-	y
reference_homelab_study_gitops_quirks.md	github-com-serverkraken-homelab-study	gitops,deploy	-	y
reference_soenne_worktime_workflow.md	privat	worktime	-	y
